Date,Close,Open,High,Low,Volume
2020-05-06,18800.0,18800.0,18800.0,18800.0,0.0
2020-05-05,18800.0,18800.0,18800.0,18800.0,0.0
2020-05-04,18800.0,18800.0,18800.0,18800.0,500.0
2020-04-29,19000.0,19000.0,19000.0,19000.0,0.0
2020-04-28,19000.0,19000.0,19000.0,19000.0,100.0
2020-04-27,18800.0,17200.0,18800.0,17200.0,200.0
2020-04-24,17200.0,17200.0,17200.0,17200.0,0.0
2020-04-23,17200.0,17200.0,17200.0,17200.0,500.0
2020-04-22,18900.0,18900.0,18900.0,18900.0,260.0
2020-04-21,20900.0,20900.0,20900.0,20900.0,0.0
2020-04-20,20900.0,20900.0,20900.0,20900.0,100.0
2020-04-17,19100.0,16500.0,19100.0,15800.0,3320.0
2020-04-16,17500.0,17500.0,17500.0,17500.0,4.0
2020-04-15,17500.0,17500.0,17500.0,17500.0,130.0
2020-04-14,19000.0,19000.0,19000.0,19000.0,0.0
2020-04-13,19000.0,19000.0,19000.0,19000.0,500.0
2020-04-10,20000.0,20000.0,20000.0,20000.0,0.0
2020-04-09,20000.0,20000.0,20000.0,20000.0,111.0
2020-04-08,20000.0,20000.0,20000.0,20000.0,2009.9999999999998
2020-04-07,20000.0,20000.0,20000.0,20000.0,0.0
2020-04-06,20000.0,20000.0,21800.0,20000.0,3400.0
2020-04-03,20000.0,20000.0,20000.0,20000.0,2650.0
2020-04-01,20500.0,20500.0,20500.0,20500.0,510.0
2020-03-31,20500.0,18000.0,20500.0,18000.0,38300.0
2020-03-30,19000.0,18000.0,19000.0,16700.0,10710.0
2020-03-27,18200.0,16600.0,18200.0,16600.0,65700.0
2020-03-26,16600.0,15200.0,16600.0,15200.0,531030.0
2020-03-25,15100.0,15100.0,15100.0,15000.0,3900.0
2020-03-23,15100.0,15100.0,15100.0,15100.0,3800.0
2020-03-20,15000.0,15000.0,15000.0,15000.0,4600.0
2020-03-19,15000.0,15000.0,15000.0,15000.0,3620.0
2020-03-18,15000.0,15000.0,15000.0,15000.0,69010.0
2020-03-17,15000.0,15000.0,15000.0,15000.0,900.0
2020-03-16,15000.0,15000.0,15000.0,15000.0,7120.0
2020-03-13,15000.0,15000.0,15500.0,15000.0,2300.0
2020-03-12,15000.0,15000.0,15000.0,15000.0,8200.0
2020-03-11,15000.0,15100.0,15100.0,15000.0,3400.0
2020-03-09,15000.0,16000.0,16600.0,15000.0,35400.0
2020-03-06,15100.0,15100.0,15100.0,15100.0,300.0
2020-03-05,16000.0,16000.0,16000.0,16000.0,7100.0
2020-03-04,15800.0,15800.0,15800.0,15800.0,2300.0
2020-03-03,16000.0,16000.0,16000.0,16000.0,100.0
2020-03-02,15800.0,15800.0,15800.0,15800.0,500.0
2020-02-28,15500.0,15500.0,15500.0,15000.0,4500.0
2020-02-27,15500.0,15500.0,15500.0,15500.0,2120.0
2020-02-21,16400.0,15000.0,16400.0,15000.0,3480.0
2020-02-20,16500.0,15000.0,16500.0,15000.0,305100.0
2020-02-18,15000.0,15000.0,15000.0,15000.0,6400.0
2020-02-17,15000.0,15000.0,15000.0,15000.0,100.0
2020-02-13,15000.0,15000.0,15000.0,15000.0,900.0
2020-02-07,15000.0,15000.0,15000.0,15000.0,1000.0
2020-02-06,15000.0,15000.0,15000.0,15000.0,700.0
2020-02-03,15000.0,15000.0,15000.0,15000.0,1100.0
2020-01-30,15000.0,15000.0,15000.0,15000.0,220.0
2020-01-15,15100.0,15100.0,15100.0,15100.0,2200.0
2020-01-10,15100.0,15100.0,15500.0,15100.0,10430.0
2020-01-09,15100.0,15100.0,15100.0,15100.0,2100.0
2020-01-08,15100.0,15100.0,15100.0,15100.0,6100.0
2020-01-06,15000.0,15000.0,15000.0,15000.0,100.0
2020-01-03,16000.0,17800.0,17800.0,16000.0,3200.0
2020-01-02,17700.0,18000.0,18000.0,17700.0,1450.0
2019-12-31,19500.0,19500.0,19500.0,19500.0,36450.0
2019-12-30,18700.0,18500.0,18700.0,18000.0,165900.0
2019-12-27,18500.0,18500.0,18500.0,18500.0,40000.0
2019-12-26,18500.0,17000.0,18500.0,17000.0,79800.0
2019-12-25,17300.0,15400.0,17300.0,15400.0,33700.0
2019-12-24,15900.0,15900.0,15900.0,15900.0,500.0
2019-12-17,14600.0,14600.0,14600.0,14600.0,3700.0
2019-12-16,14700.0,14600.0,15000.0,14600.0,11410.0
2019-12-13,14500.0,14500.0,14500.0,14500.0,140.0
2019-12-12,15500.0,15000.0,15500.0,15000.0,8900.0
2019-12-11,14500.0,14600.0,14600.0,14500.0,1150.0
2019-12-06,14600.0,14100.0,15500.0,14100.0,24600.0
2019-12-04,14100.0,14100.0,14100.0,14100.0,100.0
2019-12-03,14400.0,14400.0,14400.0,14400.0,3800.0
2019-11-29,14500.0,15000.0,15000.0,14500.0,27300.0
2019-11-26,15000.0,15000.0,15000.0,15000.0,700.0
2019-11-25,15500.0,16000.0,16000.0,15500.0,2100.0
2019-11-22,14600.0,14600.0,14600.0,14600.0,5400.0
