Date,Close,Open,High,Low,Volume
2020-05-06,13000.0,13000.0,13000.0,13000.0,100.0
2020-05-05,12000.0,12000.0,12000.0,12000.0,0.0
2020-05-04,12000.0,12000.0,12000.0,12000.0,100.0
2020-04-29,10500.0,10500.0,10500.0,10500.0,0.0
2020-04-28,10500.0,10500.0,10500.0,10500.0,100.0
2020-04-27,12000.0,12000.0,12000.0,12000.0,100.0
2020-04-24,10500.0,10500.0,10500.0,10500.0,100.0
2020-04-23,12000.0,12000.0,12000.0,12000.0,1100.0
2020-04-22,13400.0,13400.0,13400.0,13400.0,100.0
2020-04-21,12000.0,12000.0,12000.0,12000.0,200.0
2020-04-20,13500.0,13500.0,13500.0,13500.0,0.0
2020-04-17,13500.0,13500.0,13500.0,13500.0,100.0
2020-04-16,12000.0,12000.0,12000.0,12000.0,500.0
2020-04-15,14000.0,14000.0,14000.0,14000.0,0.0
2020-04-14,14000.0,14000.0,14000.0,14000.0,100.0
2020-04-13,13800.0,13800.0,13800.0,13800.0,0.0
2020-04-10,13800.0,13800.0,13800.0,13800.0,0.0
2020-04-09,13800.0,13800.0,13800.0,13800.0,0.0
2020-04-08,13800.0,13800.0,13800.0,13800.0,150.0
2020-04-07,12100.0,12100.0,12100.0,12100.0,100.0
2020-04-06,14500.0,13100.0,14500.0,13100.0,200.0
2020-04-03,14500.0,13000.0,14500.0,13000.0,200.0
2020-04-01,14000.0,14000.0,14000.0,14000.0,100.0
2020-03-31,13000.0,13000.0,13000.0,13000.0,100.0
2020-03-30,11600.0,11600.0,11600.0,11600.0,1000.0
2020-03-27,13600.0,13600.0,13600.0,13600.0,200.0
2020-03-26,15800.0,15800.0,15800.0,15800.0,100.0
2020-03-23,15500.0,15500.0,15500.0,15500.0,100.0
2020-03-19,15000.0,15000.0,15000.0,15000.0,100.0
2020-03-18,13900.0,13900.0,13900.0,13900.0,100.0
2020-03-17,13900.0,10400.0,13900.0,10400.0,200.0
2020-03-12,15000.0,13000.0,15000.0,11600.0,1100.0
2020-03-06,13600.0,13600.0,13600.0,13600.0,1100.0
2020-02-21,16000.0,16000.0,16000.0,16000.0,100.0
2020-02-20,14900.0,14900.0,14900.0,14900.0,100.0
2020-02-18,13800.0,14732.0,14732.0,13800.0,600.0
2020-02-17,14173.0,14173.0,14173.0,14173.0,200.0
2020-02-13,13986.0,14826.0,14826.0,13986.0,200.0
2020-01-17,15800.0,15800.0,15800.0,15800.0,100.0
2020-01-15,15800.0,15800.0,15800.0,15800.0,100.0
2020-01-14,14000.0,14000.0,14000.0,14000.0,1300.0
2020-01-09,14000.0,14000.0,14000.0,14000.0,1200.0
2020-01-08,12800.0,12800.0,12800.0,12800.0,200.0
2020-01-07,14900.0,14900.0,14900.0,14900.0,100.0
2020-01-06,15500.0,15500.0,15500.0,15500.0,100.0
2019-12-26,15000.0,15000.0,15000.0,15000.0,2000.0
2019-12-24,16000.0,16000.0,16000.0,16000.0,100.0
2019-12-23,14500.0,14500.0,14500.0,14500.0,10000.0
2019-12-16,15000.0,15000.0,15000.0,15000.0,100.0
2019-12-13,14300.0,14000.0,14300.0,14000.0,3100.0
