,Date,Close,Volume,Open,High,Low
2,2020-04-29,14200.0,8800,14200.0,14200.0,14000.0
3,2020-04-28,14100.0,26800,13900.0,14100.0,13900.0
4,2020-04-27,14000.0,8900,14000.0,14000.0,14000.0
5,2020-04-24,13900.0,26400,13900.0,14000.0,13900.0
6,2020-04-23,13900.0,1020,13900.0,13900.0,13900.0
7,2020-04-22,13800.0,12030,13800.0,14100.0,13800.0
8,2020-04-21,13700.0,15106,13900.0,13900.0,13600.0
9,2020-04-20,14000.0,21300,14100.0,14300.0,14000.0
10,2020-04-17,14000.0,920,14000.0,14000.0,14000.0
11,2020-04-16,14000.0,700,14100.0,14100.0,14000.0
12,2020-04-15,13900.0,3300,14200.0,14200.0,13900.0
13,2020-04-14,14400.0,5300,14000.0,14400.0,14000.0
14,2020-04-13,14000.0,1006,14200.0,14200.0,14000.0
15,2020-04-10,14400.0,2000,14600.0,14600.0,14400.0
16,2020-04-09,14800.0,24400,14000.0,15000.0,14000.0
17,2020-04-08,13600.0,35400,13600.0,14000.0,13600.0
18,2020-04-07,13700.0,25400,13400.0,13700.0,13300.0
19,2020-04-06,13300.0,9400,13500.0,13500.0,13100.0
20,2020-04-03,13100.0,2000,13000.0,13300.0,13000.0
21,2020-04-01,13700.0,3700,12800.0,13700.0,12800.0
2,2020-03-31,12800.0,3800,13100.0,13100.0,12800.0
3,2020-03-30,12900.0,3400,13400.0,13600.0,12900.0
4,2020-03-27,13500.0,2300,13700.0,13700.0,13400.0
5,2020-03-26,13400.0,4000,13700.0,13700.0,13400.0
6,2020-03-25,13700.0,10020,13300.0,13700.0,13300.0
7,2020-03-24,13100.0,6200,12500.0,13500.0,12500.0
8,2020-03-23,12900.0,15450,13700.0,13700.0,12700.0
9,2020-03-20,13000.0,1030,13800.0,13800.0,13000.0
10,2020-03-19,13300.0,18900,13000.0,13700.0,13000.0
11,2020-03-18,13500.0,48300,13400.0,14000.0,13400.0
12,2020-03-17,12600.0,7200,12700.0,12700.0,12600.0
13,2020-03-16,13100.0,19600,13100.0,13800.0,13100.0
14,2020-03-13,12700.0,400,12700.0,12700.0,12700.0
15,2020-03-12,12700.0,7800,12800.0,12800.0,12700.0
16,2020-03-11,13000.0,0,13000.0,13000.0,13000.0
17,2020-03-10,13000.0,1000,13000.0,13000.0,13000.0
18,2020-03-09,13000.0,6700,13000.0,13000.0,12900.0
19,2020-03-06,13500.0,2600,13500.0,13500.0,13500.0
20,2020-03-05,13400.0,62010,13300.0,14000.0,13300.0
21,2020-03-04,13300.0,200,13300.0,13300.0,13300.0
2,2020-03-03,13800.0,64010,13000.0,13800.0,13000.0
3,2020-03-02,13000.0,3710,13000.0,13000.0,13000.0
4,2020-02-28,13100.0,20700,13300.0,13300.0,13100.0
5,2020-02-27,13100.0,2200,13100.0,13100.0,13100.0
6,2020-02-26,13100.0,2500,13000.0,13100.0,13000.0
7,2020-02-25,13000.0,9700,13000.0,13000.0,13000.0
8,2020-02-24,13100.0,5100,13200.0,13200.0,13100.0
9,2020-02-21,13200.0,400,13200.0,13200.0,13200.0
